Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Public Safety,Historical New York City Crime Data,Public-Safety/Historical-New-York-City-Crime-Data/hqhv-9zeg,Police Department (NYPD),"The New York City Police Department records reported crime and offense data based upon the New York State Penal Law and other New York State laws. For statistical presentation purposes the numerous law categories and subsections are summarized by law class, Felony, Misdemeanor and Violation. The tabular data compiles reported crime and offense data recorded by the New York City Police Department. Separate tables are presented for the Seven Major Felonies, Non-Seven Major Felony Crimes, Misdemeanors and Violations.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nypd, police department, crime, historical new york city crime data"
Housing & Development,Property Data (Buildings Information System),Housing-Development/Property-Data-Buildings-Information-System-/e98g-f8hy,Department of Buildings (DOB),List of NYC Properties under DOB jurisdiction,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"property, building, jurisdiction, clean web"
Health,Health and Hospitals Corporation (HHC) Facilities,Health/Health-and-Hospitals-Corporation-HHC-Facilities/f7b6-v6v3,Health and Hospitals Corporation (HHC),"This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"facility, facilities, health, patient, healthcare, healthcare provider, hospital, medicare, medicaid, healthy living"
Housing & Development,DOB Permit Issuance,Housing-Development/DOB-Permit-Issuance/ipu4-2q9a,Department of Buildings (DOB),A list of permits issued for a particular day and associated data. Prior weekly and monthly reports are archived at DOB and are not available on NYC Open Data.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"permit, dob, buildings"
Transportation,DOF Parking Violation Codes,Transportation/DOF-Parking-Violation-Codes/ncbg-6agr,Department of Finance (DOF),This dataset defines the parking violation codes in New York City and lists the fines. Each fine amount includes a $15 New York State Criminal Justice surcharge.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dof, parking, violation, code, fine"
Social Services,311 Fireworks Complaints,Social-Services/311-Fireworks-Complaints/g4u2-tvag,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,seenigel,http://data.cityofnewyork.us/api/users/sx9j-s7ux,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Environment,Landcover Raster Data (2010),Environment/Landcover-Raster-Data-2010-/9auy-76zt,Department of Parks and Recreation (DPR),"High resolution land cover data set for New York City.  This is the 3ft version of the high-resolution land cover dataset for New York City. Seven land cover classes were mapped: (1) tree canopy, (2) grass/shrub, (3) bare earth, (4) water, (5) buildings, (6) roads, and (7) other paved surfaces.  The minimum mapping unit for the delineation of features was set at 3 square feet. The primary sources used to derive this land cover layer were the 2010 LiDAR and the 2008 4-band orthoimagery.  Ancillary data sources included GIS data (city boundary, building footprints, water, parking lots, roads, railroads, railroad structures, ballfields) provided by New York City (all ancillary datasets except railroads); UVM Spatial Analysis Laboratory manually created railroad polygons from manual interpretation of 2008 4-band orthoimagery.  The tree canopy class was considered current as of 2010; the remaining land-cover classes were considered current as of 2008. Object-Based Image Analysis (OBIA) techniques were employed to extract land cover information using the best available remotely sensed and vector GIS datasets.  OBIA systems work by grouping pixels into meaningful objects based on their spectral and spatial properties, while taking into account boundaries imposed by existing vector datasets.  Within the OBIA environment a rule-based expert system was designed to effectively mimic the process of manual image analysis by incorporating the elements of image interpretation (color/tone, texture, pattern, location, size, and shape) into the classification process.  A series of morphological procedures were employed to insure that the end product is both accurate and cartographically pleasing. More than 35,000 corrections were made to the classification.  Overall accuracy was 96%. This dataset was developed as part of the Urban Tree Canopy (UTC) Assessment for New York City.  As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class.  At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area. This project was funded by National Urban and Community Forestry Advisory Council (NUCFAC) and the National Science Fundation (NSF), although it is not specifically endorsed by either agency.  The methods used were developed by the University of Vermont Spatial Analysis Laboratory, in collaboration with the New York City Urban Field Station, with funding from the USDA Forest Service.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dpr, landcover, tree, canopy, grass, water, buildings, roads, paved, raster, healthy living, #cleanweb, #education, #environment, bigapps, big apps"
Transportation,Subway Stations,Transportation/Subway-Stations/arq3-7z49,Metropolitan Transportation Authority (MTA),City Subway Stations,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"doittgis, doitt gis, location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station, transfer"
Housing & Development,Oil Boilers - Detailed Fuel Consumption and Building Data,Housing-Development/Oil-Boilers-Detailed-Fuel-Consumption-and-Building/jfzu-yy6n,Mayor's Office of Long-Term Planning and Sustainability (OLTPS),"Detailed data on NYC buildings with oil boilers, including fuel consumption, BBL, building owner/management info, deadline for complying with Audit and Retrocommissioning Law, building type and year constructed, number of floors and residential units, Condo/Coop status, and more.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"energy, power, environment, planning, construction, housing, property"
Social Services,"Rats, Heat Map",Social-Services/Rats-Heat-Map/g642-4e55,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,sorabji,http://data.cityofnewyork.us/api/users/d8v3-j4ez,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,2012 NYC Noise Complaints - Heat Map,Social-Services/2012-NYC-Noise-Complaints-Heat-Map/sw33-t3vk,311,NYC Noise complaints for 2012,ksell,http://data.cityofnewyork.us/api/users/8xvz-5ja2,"311, 311 service requests, 2010, 2011, service request status, all service requests, ksell, sell"
Education,School Attendance and Enrollment Statistics by District (2010-11),Education/School-Attendance-and-Enrollment-Statistics-by-Dis/7z8d-msnt,Department of Education (DOE),DOE attendance and enrollment statistics broken down by school district,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"doe, education, schools, attendance, enrollment, district, absent, school district, lifelong learning"
Housing & Development,DOB Complaints Received,Housing-Development/DOB-Complaints-Received/eabe-havv,Department of Buildings (DOB),A list of complaints received and associated data. Prior monthly reports are archived at DOB and are not available on NYC Open Data.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaints, dob, buildings"
Transportation,Medallion Drivers – Passenger Assistance Trained,Transportation/Medallion-Drivers-Passenger-Assistance-Trained/td5q-ry6d,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion drivers who had completed Passenger Assistance Training. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
City Government,1 foot Digital Elevation Model (DEM),City-Government/1-foot-Digital-Elevation-Model-DEM-/dpc8-z3jc,Department of Environmental Protection (DEP) & Department of Information Technology and Telecommunications (DoITT),NYC 1foot Digital Elevation Model,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dem, dep, 1ft"
City Government,Neighborhood Names GIS,City-Government/Neighborhood-Names-GIS/99bc-9p23,Department of City Planning (DCP),GIS data: neighborhood labels as depicted in New York City: A City of Neighborhoods,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"geographic, location, map, cartography, neighborhood, historic, scenic, interest, area of interest, areas of interest, dcp, city planning, neighborhood names, gis"
Public Safety,Police Precincts,Public-Safety/Police-Precincts/78dh-3ptz,Department of City Planning (DCP),GIS data: Boundaries of Police Precincts,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"police precincts, dcp, geographic, location, map, cartography, safety, crime, boundary, police, policeman, cop, division, precinct, precincts, gis, jurisdiction, school, health, fire & police gis: police precincts"
,NYC Open Data Plan - Planned Releases,dataset/NYC-Open-Data-Plan-Planned-Releases/qvfe-29nx,NYC Department of Information Technology and Telecommunications,A listing of all available and planned datasets for use in feeding API calls and embedded lists on the NYC Open Data Compliance Plan Dashboard,Chris Whong,http://data.cityofnewyork.us/api/users/xpic-k57b,
Business,2012 NYC Farmers Market List,Business/2012-NYC-Farmers-Market-List/b7kx-qikm,Department of Health and Mental Hygiene (DOHMH),Listing of NYC farmers markets.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"2012 nyc market list, dohmh, farmers market, green, food, health, healthy living"
Recreation,New York City Art Galleries,Recreation/New-York-City-Art-Galleries/tgyc-r5jh,Department of Information Technology & Telecommunications (DoITT),Location of New York City Art Galleries,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"galleries, art, culture, doitt gis"
City Government,Primary Land Use Tax Lot Output (PLUTO),City-Government/Primary-Land-Use-Tax-Lot-Output-PLUTO-/xuk2-nczf,Department of City Planning (DCP),Extensive land use and geographic data at the tax lot level in comma–separated values (CSV) file format. The PLUTO files contain more than seventy fields derived from data maintained by city agencies.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dcp, property, city planning, zoning, land use, pluto"
Recreation,NYC Social Media Usage,Recreation/NYC-Social-Media-Usage/5b3a-rs48,Mayor's Office of Media And Entertainment (MOME),"Twitter and Facebook statistics from various NYC agencies and organizations.

Update Frequency: As required",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"twitter, facebook, nyc, agency, organization, data"
Education,School Districts,Education/School-Districts/r8nu-ymqj,Department of City Planning (DCP),GIS data: Boundaries of School Districts,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"school districts, education, dcp, city planning, maps"
Transportation,2014 Yellow Taxi Trip Data,Transportation/2014-Yellow-Taxi-Trip-Data/gn7m-em8n,Taxi and Limousine Commission (TLC),"<div>Filter cards by selecting date ranges on
date/time cards, typing freeform text into search cards, or clicking the
columns in the column card.<br></div><div><br></div><div>This dataset includes trip records from all trips
completed in yellow taxis in NYC in 2014.&nbsp; Records include fields
capturing pick-up and drop-off dates/times, pick-up and drop-off locations,
trip distances, itemized fares, rate types, payment types, and driver-reported
passenger counts. The data used in the attached datasets were collected
and provided to the NYC Taxi and Limousine Commission (TLC) by technology
providers authorized under the Taxicab Passenger Enhancement Program
(TPEP).&nbsp; The&nbsp; trip data was not created by the TLC, and TLC makes no
representations as to the accuracy of these data.<br></div>",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,
